Has q/Q?  Has x/X?  Has y/Y?  Has is/Is?  Has the/The?  Has van/Van?  Has voor/Voor?  Has de/De?  Has it/It?  Has and/And?  English?    
0            0            1            0            1            0            0            0            0            1            1
0            0            1            0            0            1            0            0            0            1            1
0            0            1            0            0            0            0            1            0            1            1
0            1            0            1            0            0            0            0            0            0            1
0            0            1            0            0            0            0            0            0            1            1
0            0            1            0            1            0            0            0            0            1            1
0            1            0            1            0            0            0            0            0            0            1
1            0            0            0            0            0            0            0            1            1            1
0            0            1            0            0            0            0            0            0            1            1
0            0            0            1            1            0            0            0            0            1            1
0            0            0            0            0            1            0            1            0            0            0
0            0            0            0            0            1            0            1            0            0            0
0            0            0            0            0            0            1            1            0            0            0
0            0            0            0            0            0            0            1            0            0            0
0            0            0            0            0            0            0            0            0            0            0
0            0            0            1            0            1            0            1            0            0            0
0            0            0            0            0            1            1            0            0            0            0
0            0            0            0            0            0            1            1            0            0            0
0            0            0            1            0            1            0            0            0            0            0
0            0            0            0            0            1            0            1            0            0            0
